iter	Logloss
0	0.6815628489
1	0.6711627764
2	0.6585738583
3	0.6501546518
4	0.6412204865
5	0.6316133371
6	0.6243062139
7	0.6155938436
8	0.6061672556
9	0.5987664905
10	0.59327462
11	0.5880347179
12	0.5819232429
13	0.5762167149
14	0.5698655448
15	0.5653671396
16	0.5606885551
17	0.5563154109
18	0.5521547762
19	0.5482155948
20	0.5434734276
21	0.5395200973
22	0.5355368849
23	0.5325630978
24	0.5293011087
25	0.5256357216
26	0.5229158707
27	0.5197263098
28	0.5167645094
29	0.5141884503
30	0.5111293686
31	0.5085469732
32	0.505839707
33	0.5029766578
34	0.5007192919
35	0.4976178016
36	0.495562598
37	0.4935029243
38	0.4917177751
39	0.4900689546
40	0.4876007119
41	0.4861599739
42	0.4846598046
43	0.4825535363
44	0.4812262713
45	0.4799008937
46	0.478371628
47	0.4765616784
48	0.4749191417
49	0.4730048915
50	0.4715589262
51	0.4699688154
52	0.4691425342
53	0.4674411095
54	0.4664254919
55	0.4653079678
56	0.4643997085
57	0.4630239908
58	0.4617564176
59	0.4609213843
60	0.4597798679
61	0.4590414216
62	0.45781955
63	0.456959834
64	0.4555729765
65	0.4545325555
66	0.4536921926
67	0.4528488677
68	0.4516563403
69	0.4509951495
70	0.4501762724
71	0.449120567
72	0.4481156845
73	0.4474057921
74	0.4466585162
75	0.4460458261
76	0.4454458328
77	0.444705503
78	0.4439895682
79	0.4433645158
80	0.4426919175
81	0.4420690105
82	0.4416811476
83	0.4412526515
84	0.4404529543
85	0.4400502761
86	0.4395925685
87	0.4384085465
88	0.4378294483
89	0.4373246574
90	0.4367344523
91	0.4362202925
92	0.4356202829
93	0.4353362888
94	0.4345828454
95	0.43400204
96	0.4332626628
97	0.4328981469
98	0.432293942
99	0.4317192944
100	0.4311264621
101	0.4306834859
102	0.4303698698
103	0.4298710314
104	0.4294524505
105	0.4289168782
106	0.4284428624
107	0.4279676758
108	0.4276947323
109	0.4272272807
110	0.4267525196
111	0.4264987758
112	0.4259100099
113	0.4256140566
114	0.4252766218
115	0.4249397439
116	0.4242654847
117	0.4239660922
118	0.4237331481
119	0.4233966211
120	0.4227911993
121	0.4219915255
122	0.4217272948
123	0.4213319417
124	0.4208561139
125	0.4206279719
126	0.4200144594
127	0.4196489748
128	0.4192747988
129	0.4190382049
130	0.4187974523
131	0.418390236
132	0.4181060703
133	0.4179531041
134	0.4176067432
135	0.4173230394
136	0.4170274337
137	0.4166064428
138	0.4163510286
139	0.4160276121
140	0.4159017438
141	0.4156456469
142	0.4154967101
143	0.4151221716
144	0.4148136657
145	0.4145808799
146	0.4143596519
147	0.4140525211
148	0.4136994731
149	0.4135455668
150	0.4132047684
151	0.4127132096
152	0.4125189374
153	0.412279135
154	0.4120483524
155	0.4119253363
156	0.4114870869
157	0.4112695749
158	0.4110235827
159	0.4107384846
160	0.4106187827
161	0.410294346
162	0.4101311598
163	0.4097272304
164	0.4094892697
165	0.4091368364
166	0.4090294709
167	0.4087297594
168	0.4084892321
169	0.4083170648
170	0.4081045497
171	0.4076223877
172	0.4074739462
173	0.40734909
174	0.4071292337
175	0.4065388935
176	0.4063224034
177	0.4061235156
178	0.4059456613
179	0.4057502731
180	0.4051333092
181	0.4046310701
182	0.4045307202
183	0.4043318502
184	0.4040175675
185	0.403595065
186	0.4032500165
187	0.403108929
188	0.4028757842
189	0.4026732468
190	0.4025289505
191	0.4023695812
192	0.4021843565
193	0.4019856982
194	0.401799881
195	0.4016124436
196	0.401437889
197	0.4012062518
198	0.4010208013
199	0.4007702396
200	0.4006076453
201	0.4003710156
202	0.4001392503
203	0.3999617851
204	0.3998748009
205	0.3996105432
206	0.3994714432
207	0.3993290529
208	0.3992146783
209	0.3990907086
210	0.3989702949
211	0.3988582091
212	0.3985947117
213	0.3984424248
214	0.3983411376
215	0.3982713506
216	0.398141371
217	0.3980306905
218	0.3978411026
219	0.3976934078
220	0.3975706481
221	0.3974371137
222	0.3973178756
223	0.397182371
224	0.3970623768
225	0.3968845301
226	0.396744023
227	0.3966626519
228	0.3965016559
229	0.3962541492
230	0.3960740124
231	0.3959319306
232	0.3956463464
233	0.3955337904
234	0.395169696
235	0.3948981906
236	0.3947826182
237	0.3946429402
238	0.3945975823
239	0.3944799221
240	0.3943469158
241	0.3942195785
242	0.394040657
243	0.3938989232
244	0.3937929891
245	0.393576667
246	0.3934893069
247	0.3933682553
248	0.3931875258
249	0.3931577505
250	0.3930230481
251	0.3929016565
252	0.3928239848
253	0.3926100441
254	0.3925240122
255	0.3922856346
256	0.3921457446
257	0.3920296749
258	0.3916920834
259	0.3916320106
260	0.3915688157
261	0.3915145633
262	0.3914874623
263	0.3914569527
264	0.3913248248
265	0.3911986214
266	0.3910948935
267	0.3908476731
268	0.3907136167
269	0.3904875397
270	0.3904159627
271	0.3903332532
272	0.390180328
273	0.3900829216
274	0.3899456162
275	0.3897907686
276	0.3897701199
277	0.3894317165
278	0.3892867203
279	0.3891966389
280	0.3890847368
281	0.3890640312
282	0.3889630761
283	0.3887019894
284	0.3885142419
285	0.388370096
286	0.3882232972
287	0.3881698956
288	0.3879983426
289	0.38792155
290	0.3876701363
291	0.3875843973
292	0.3875017772
293	0.3874280901
294	0.3873753784
295	0.3872351127
296	0.3871281919
297	0.386994184
298	0.3868693043
299	0.3867568485
300	0.3866109277
301	0.3865325523
302	0.3864369514
303	0.3863787554
304	0.3863067125
305	0.3861893762
306	0.3860926479
307	0.385752494
308	0.3856448633
309	0.3855569173
310	0.3854535807
311	0.3851466493
312	0.3850511433
313	0.384968919
314	0.3848867705
315	0.3847828573
316	0.3845779287
317	0.3843434876
318	0.3842287364
319	0.3840875551
320	0.3839552396
321	0.3838688372
322	0.3838173882
323	0.38371899
324	0.3835587899
325	0.3834859813
326	0.3834382131
327	0.3832601432
328	0.3831526819
329	0.3831235887
330	0.3829817889
331	0.3829073967
332	0.3828090568
333	0.3826441555
334	0.382487156
335	0.3823499452
336	0.3822929285
337	0.3822206142
338	0.3821374306
339	0.3820278903
340	0.3819050567
341	0.3818103113
342	0.3816626634
343	0.3814358645
344	0.3813518564
345	0.3812975909
346	0.3811774413
347	0.3810093458
348	0.3808035496
349	0.3807416242
350	0.3805758441
351	0.380523784
352	0.3802639175
353	0.3801600695
354	0.3800304559
355	0.3799726572
356	0.3797663299
357	0.3796355893
358	0.3795289337
359	0.3794459754
360	0.379362387
361	0.3792271218
362	0.3790798695
363	0.3789872132
364	0.3788656223
365	0.3787154101
366	0.3785016098
367	0.3783317922
368	0.3780297256
369	0.3779202134
370	0.37780406
371	0.3777200214
372	0.377642107
373	0.3775969215
374	0.3775120627
375	0.3773978325
376	0.3771874863
377	0.3770835345
378	0.3769519312
379	0.3768483035
380	0.3767507186
381	0.3765814781
382	0.3765103558
383	0.3764316167
384	0.3763515364
385	0.3762415874
386	0.3761058327
387	0.3760051777
388	0.3759341284
389	0.3758439906
390	0.3757256788
391	0.3756183889
392	0.3754870806
393	0.3753151304
394	0.3752118812
395	0.3750875578
396	0.3750040688
397	0.3749041861
398	0.3747788249
399	0.374657037
400	0.3744856446
401	0.374341651
402	0.3742750546
403	0.374154698
404	0.3741004849
405	0.3740190303
406	0.3739365167
407	0.3736786246
408	0.3735714707
409	0.3734919213
410	0.373394442
411	0.3732882386
412	0.3732052055
413	0.3731557712
414	0.3730607811
415	0.3729878118
416	0.3728255527
417	0.372673661
418	0.3725744663
419	0.3725256289
420	0.3723603661
421	0.3721903749
422	0.3719879426
423	0.3719041823
424	0.3717713704
425	0.3716610052
426	0.3714371309
427	0.3712960669
428	0.3711969655
429	0.371104769
430	0.3708735604
431	0.3706527347
432	0.3705581081
433	0.3704097807
434	0.3703211945
435	0.3702234872
436	0.3701199304
437	0.3699913844
438	0.369871253
439	0.3696802697
440	0.3695194328
441	0.3693788398
442	0.3692148187
443	0.3689988003
444	0.3688707441
445	0.3686803056
446	0.3685454631
447	0.368488584
448	0.3684081718
449	0.3682815536
450	0.3681895638
451	0.3680903424
452	0.3679849459
453	0.3678609289
454	0.3677569694
455	0.3676600318
456	0.367566361
457	0.3674729008
458	0.3672538613
459	0.3671379692
460	0.3669043665
461	0.366802045
462	0.3666274514
463	0.3665344149
464	0.3663917492
465	0.3663147579
466	0.3662274716
467	0.3660009001
468	0.365782521
469	0.3656480304
470	0.3655221677
471	0.3654040312
472	0.3652822198
473	0.3652001366
474	0.3650694185
475	0.3649923667
476	0.3649341944
477	0.3647398989
478	0.3646048097
479	0.3644564803
480	0.3643157251
481	0.3642563511
482	0.3641109887
483	0.3639778578
484	0.3638925978
485	0.3636755687
486	0.3635377178
487	0.3634050792
488	0.363305711
489	0.3632043204
490	0.363099302
491	0.3628624329
492	0.3627891619
493	0.3627119965
494	0.3626053659
495	0.3625392577
496	0.362411673
497	0.3623226369
498	0.3621444849
499	0.3619631827
500	0.3619151887
501	0.3618268525
502	0.3617034623
503	0.361596988
504	0.3614453695
505	0.361339727
506	0.3611497326
507	0.3610309274
508	0.3609261492
509	0.3607359668
510	0.3606266941
511	0.3605091226
512	0.3604252778
513	0.360337852
514	0.3601383751
515	0.3600571308
516	0.3599412784
517	0.3598735485
518	0.3597441011
519	0.3595753854
520	0.3594906066
521	0.3593824701
522	0.3591983711
523	0.3591284724
524	0.3589940401
525	0.3588508308
526	0.3587935659
527	0.3585984297
528	0.3584279774
529	0.3583010973
530	0.3581151691
531	0.3580134228
532	0.3578734298
533	0.3577539902
534	0.3575991126
535	0.357459351
536	0.357338966
537	0.3571634373
538	0.35705674
539	0.3569246462
540	0.3568223704
541	0.3567187159
542	0.3565467037
543	0.3564603419
544	0.3563457907
545	0.3562728825
546	0.3561968419
547	0.3561261728
548	0.3560325781
549	0.3558651892
550	0.3556771295
551	0.3555530923
552	0.3554588317
553	0.3552999052
554	0.3552079299
555	0.3551207434
556	0.3550540064
557	0.3549509064
558	0.3548530222
559	0.3548049834
560	0.3546767026
561	0.3545408554
562	0.3544340573
563	0.3543521473
564	0.354258501
565	0.3541354094
566	0.3539989446
567	0.3538649119
568	0.3537021929
569	0.3535770011
570	0.3535281651
571	0.3533575301
572	0.3532187733
573	0.353099198
574	0.353014561
575	0.352904517
576	0.3527798904
577	0.3527158515
578	0.3526324083
579	0.3525647266
580	0.3524878445
581	0.3523850715
582	0.3522537377
583	0.352168045
584	0.3519838831
585	0.3518607945
586	0.3517978076
587	0.3516506284
588	0.3514935224
589	0.3513900582
590	0.3512508283
591	0.3511925473
592	0.3510761669
593	0.3509882014
594	0.3509168282
595	0.3508082418
596	0.3506943515
597	0.3506082897
598	0.3505030936
599	0.3504157833
600	0.3503095831
601	0.3502127563
602	0.3501347449
603	0.3500280877
604	0.3499289466
605	0.3498045176
606	0.3496874822
607	0.3496268892
608	0.3495367299
609	0.349489086
610	0.3494040559
611	0.3492419928
612	0.3491646542
613	0.3491084737
614	0.3490100696
615	0.3488699755
616	0.3486747273
617	0.3485373531
618	0.3483628383
619	0.3482308004
620	0.3481112071
621	0.3480210457
622	0.3478886166
623	0.3478183529
624	0.3477571605
625	0.347542049
626	0.3474194211
627	0.3473073449
628	0.3472017034
629	0.3470597142
630	0.3469130685
631	0.3467559989
632	0.3466488577
633	0.3464940206
634	0.3464094439
635	0.3462866771
636	0.3461210559
637	0.3460096657
638	0.3459219732
639	0.3457889912
640	0.3457366424
641	0.3456367251
642	0.3455201993
643	0.3453529528
644	0.345264268
645	0.3451242593
646	0.3450353463
647	0.344927219
648	0.3448603031
649	0.3447672016
650	0.3446556305
651	0.3445449845
652	0.3444119381
653	0.3443062961
654	0.3442557758
655	0.3441818887
656	0.3440840815
657	0.3439823358
658	0.343875253
659	0.3437546911
660	0.3436862388
661	0.3435786381
662	0.3434452432
663	0.3433673005
664	0.3432904683
665	0.3431652521
666	0.3430669141
667	0.3430076356
